,Day,Month,Year,DAP,Stage,WC(1.50),Rain,Irri,Surf,Infilt,RO,Drain,CR,Zgwt,Ex,E,E/Ex,Trx,Tr,Tr/Trx,ETx,ET,ET/ETx,GD,Z,StExp,StSto,StSen,StSalt,StWeed,CC,CCw,StTr,Kc(Tr),Trx.1,Tr.1,TrW,Tr/Trx.1,WP,Biomass,HI,Y(dry),Y(fresh),Brelative,WPet,Bin,Bout,WC(1.50).1,Wr(1.50),Z.1,Wr,Wr(SAT),Wr(FC),Wr(exp),Wr(sto),Wr(sen),Wr(PWP),SaltIn,SaltOut,SaltUp,Salt(1.50)  SaltZ,Z.2,ECe,ECsw,StSalt.1,Zgwt.1,ECgw,WC01,WC 2,WC 3,WC 4,WC 5,WC 6,WC 7,WC 8,WC 9,WC10,WC11,WC12,ECe01,ECe 2,ECe 3,ECe 4,ECe 5,ECe 6,ECe 7,ECe 8,ECe 9,ECe10,ECe11,ECe12,Rain.1,ETo,Tmin,Tavg,Tmax,CO2
0,1,4,1990,-9,0,437.1,0.0,0.0,0.0,0.0,0.0,40.8,0.0,10.0,1.5,1.4,94,0.0,0.0,100,1.5,1.4,94,2.3,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,437.1,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,27.6,29.1,29.1,29.1,29.2,29.2,29.3,29.3,29.4,29.3,29.3,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,-1.1,2.3,5.8,354.45
1,2,4,1990,-9,0,434.4,1.2,0.0,0.0,1.2,0.0,3.2,0.0,10.0,0.8,0.8,100,0.0,0.0,100,0.8,0.8,100,0.0,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,434.4,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,28.1,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7,-4.1,-0.6,2.8,354.45
2,3,4,1990,-9,0,432.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,10.0,2.1,2.0,93,0.0,0.0,100,2.1,2.0,93,7.0,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,432.1,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,26.1,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-0.3,7.0,14.3,354.45
3,4,4,1990,-9,0,429.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.1,2.2,72,0.0,0.0,100,3.1,2.2,72,12.0,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,429.9,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,23.9,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,6.1,12.0,17.9,354.45
4,5,4,1990,-9,0,432.4,3.7,0.0,0.0,3.7,0.0,0.0,0.0,10.0,1.2,1.2,100,0.0,0.0,100,1.2,1.2,100,5.1,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,432.4,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,26.4,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.1,0.8,5.1,9.4,354.45
5,6,4,1990,-9,0,429.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.5,2.5,100,0.0,0.0,100,2.5,2.5,100,2.2,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,429.8,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,23.8,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-2.4,2.2,6.9,354.45
6,7,4,1990,-9,0,437.9,8.8,0.0,0.0,8.8,0.0,0.0,0.0,10.0,0.8,0.8,100,0.0,0.0,100,0.8,0.8,100,0.6,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,437.9,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,31.9,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.7,-2.0,0.6,3.2,354.45
7,8,4,1990,-9,0,435.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.9,0.9,100,0.0,0.0,100,0.9,0.9,100,0.0,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,435.0,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,28.3,29.2,29.1,29.1,29.1,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-2.6,-0.1,2.5,354.45
8,9,4,1990,-9,0,432.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,10.0,2.2,2.2,100,0.0,0.0,100,2.2,2.2,100,0.2,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,432.2,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,26.1,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.6,0.2,5.1,354.45
9,10,4,1990,-9,0,429.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,10.0,2.4,2.4,100,0.0,0.0,100,2.4,2.4,100,2.1,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,429.7,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,23.7,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,-3.3,2.1,7.5,354.45
