,Day,Month,Year,DAP,Stage,WC(1.50),Rain,Irri,Surf,Infilt,RO,Drain,CR,Zgwt,Ex,E,E/Ex,Trx,Tr,Tr/Trx,ETx,ET,ET/ETx,GD,Z,StExp,StSto,StSen,StSalt,StWeed,CC,CCw,StTr,Kc(Tr),Trx.1,Tr.1,TrW,Tr/Trx.1,WP,Biomass,HI,Y(dry),Y(fresh),Brelative,WPet,Bin,Bout,WC(1.50).1,Wr(1.50),Z.1,Wr,Wr(SAT),Wr(FC),Wr(exp),Wr(sto),Wr(sen),Wr(PWP),SaltIn,SaltOut,SaltUp,Salt(1.50)  SaltZ,Z.2,ECe,ECsw,StSalt.1,Zgwt.1,ECgw,WC01,WC 2,WC 3,WC 4,WC 5,WC 6,WC 7,WC 8,WC 9,WC10,WC11,WC12,ECe01,ECe 2,ECe 3,ECe 4,ECe 5,ECe 6,ECe 7,ECe 8,ECe 9,ECe10,ECe11,ECe12,Rain.1,ETo,Tmin,Tavg,Tmax,CO2
0,1,4,1991,-9,0,477.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.7,1.6,95,0.0,0.0,100,1.7,1.6,95,0.7,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,477.8,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,43.4,45.0,43.2,42.1,35.3,34.3,34.2,30.1,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-2.6,0.7,4.1,355.7
1,2,4,1991,-9,0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.9,87,0.0,0.0,100,1.0,0.9,87,2.2,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,477.0,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,42.6,45.0,43.1,42.1,34.5,34.1,34.1,31.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-1.8,2.2,6.3,355.7
2,3,4,1991,-9,0,475.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.4,1.2,81,0.0,0.0,100,1.4,1.2,81,5.7,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,475.8,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,41.4,45.0,43.0,42.0,34.2,34.1,34.1,31.3,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.3,5.7,11.0,355.7
3,4,4,1991,-9,0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.5,1.8,73,0.0,0.0,100,2.5,1.8,73,6.8,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,474.0,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,39.6,45.0,43.0,42.0,34.1,34.0,34.0,31.5,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.6,6.8,13.1,355.7
4,5,4,1991,-9,0,472.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.1,1.4,65,0.0,0.0,100,2.1,1.4,65,5.0,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,472.6,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,38.2,45.0,43.0,42.0,34.0,34.0,34.0,31.6,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-0.9,5.0,11.0,355.7
5,6,4,1991,-9,0,472.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9,0.5,60,0.0,0.0,100,0.9,0.5,60,3.5,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,472.1,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,37.7,45.0,43.0,42.0,34.0,34.0,34.0,31.6,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,3.5,6.9,355.7
6,7,4,1991,-9,0,472.3,1.1,0.0,0.0,1.1,0.0,0.0,0.0,10.0,0.9,0.9,100,0.0,0.0,100,0.9,0.9,100,3.9,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,472.3,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,37.9,45.0,43.0,42.0,34.0,34.0,34.0,31.6,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.8,0.4,3.9,7.4,355.7
7,8,4,1991,-9,0,470.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.1,2.0,93,0.0,0.0,100,2.1,2.0,93,5.7,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,470.4,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,36.0,45.0,43.0,42.0,34.0,34.0,34.0,31.6,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.2,5.7,9.1,355.7
8,9,4,1991,-9,0,468.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.8,1.4,81,0.0,0.0,100,1.8,1.4,81,7.2,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,468.9,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,34.5,45.0,43.0,42.0,34.0,34.0,34.0,31.6,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0,7.2,13.4,355.7
9,10,4,1991,-9,0,467.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.4,1.7,71,0.0,0.0,100,2.4,1.7,71,7.7,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,467.2,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,32.8,45.0,43.0,42.0,34.0,34.0,34.0,31.6,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.8,7.7,13.6,355.7
