,Day,Month,Year,DAP,Stage,WC(1.50),Rain,Irri,Surf,Infilt,RO,Drain,CR,Zgwt,Ex,E,E/Ex,Trx,Tr,Tr/Trx,ETx,ET,ET/ETx,GD,Z,StExp,StSto,StSen,StSalt,StWeed,CC,CCw,StTr,Kc(Tr),Trx.1,Tr.1,TrW,Tr/Trx.1,WP,Biomass,HI,Y(dry),Y(fresh),Brelative,WPet,Bin,Bout,WC(1.50).1,Wr(1.50),Z.1,Wr,Wr(SAT),Wr(FC),Wr(exp),Wr(sto),Wr(sen),Wr(PWP),SaltIn,SaltOut,SaltUp,Salt(1.50)  SaltZ,Z.2,ECe,ECsw,StSalt.1,Zgwt.1,ECgw,WC01,WC 2,WC 3,WC 4,WC 5,WC 6,WC 7,WC 8,WC 9,WC10,WC11,WC12,ECe01,ECe 2,ECe 3,ECe 4,ECe 5,ECe 6,ECe 7,ECe 8,ECe 9,ECe10,ECe11,ECe12,Rain.1,ETo,Tmin,Tavg,Tmax,CO2
0,1,4,1990,-9,0,477.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.5,1.5,95,0.0,0.0,100,1.5,1.5,95,2.3,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,477.9,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,43.5,45.0,43.2,42.1,35.3,34.3,34.2,30.1,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,-1.1,2.3,5.8,354.45
1,2,4,1990,-9,0,478.4,1.2,0.0,0.0,1.2,0.0,0.0,0.0,10.0,0.8,0.8,100,0.0,0.0,100,0.8,0.8,100,0.0,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,478.4,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,44.0,45.0,43.1,42.1,34.5,34.1,34.1,31.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7,-4.1,-0.6,2.8,354.45
2,3,4,1990,-9,0,476.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.1,2.0,96,0.0,0.0,100,2.1,2.0,96,7.0,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,476.4,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,42.0,45.0,43.0,42.0,34.2,34.1,34.1,31.3,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-0.3,7.0,14.3,354.45
3,4,4,1990,-9,0,473.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.1,2.5,82,0.0,0.0,100,3.1,2.5,82,12.0,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,473.8,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,39.4,45.0,43.0,42.0,34.1,34.0,34.0,31.5,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,6.1,12.0,17.9,354.45
4,5,4,1990,-9,0,476.3,3.7,0.0,0.0,3.7,0.0,0.0,0.0,10.0,1.2,1.2,100,0.0,0.0,100,1.2,1.2,100,5.1,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,476.3,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,41.9,45.0,43.0,42.0,34.0,34.0,34.0,31.6,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.1,0.8,5.1,9.4,354.45
5,6,4,1990,-9,0,473.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.5,2.5,100,0.0,0.0,100,2.5,2.5,100,2.2,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,473.8,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,39.4,45.0,43.0,42.0,34.0,34.0,34.0,31.6,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-2.4,2.2,6.9,354.45
6,7,4,1990,-9,0,481.6,8.8,0.0,0.0,8.5,0.3,0.0,0.0,10.0,0.8,0.8,100,0.0,0.0,100,0.8,0.8,100,0.6,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,481.6,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,47.2,45.0,43.0,42.0,34.0,34.0,34.0,31.6,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.7,-2.0,0.6,3.2,354.45
7,8,4,1990,-9,0,480.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9,0.9,100,0.0,0.0,100,0.9,0.9,100,0.0,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,480.7,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,44.5,45.3,43.4,42.3,34.1,34.1,34.1,31.9,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-2.6,-0.1,2.5,354.45
8,9,4,1990,-9,0,478.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.2,2.2,100,0.0,0.0,100,2.2,2.2,100,0.2,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,478.5,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,42.3,45.1,43.1,42.2,34.1,34.1,34.1,32.3,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.6,0.2,5.1,354.45
9,10,4,1990,-9,0,476.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.4,2.4,100,0.0,0.0,100,2.4,2.4,100,2.1,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,476.1,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,39.9,45.0,43.0,42.1,34.0,34.0,34.0,32.6,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,-3.3,2.1,7.5,354.45
10,11,4,1990,-9,0,476.8,1.5,0.0,0.0,1.5,0.0,0.0,0.0,10.0,0.8,0.8,100,0.0,0.0,100,0.8,0.8,100,3.5,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,476.8,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,40.6,45.0,43.0,42.0,34.0,34.0,34.0,32.7,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.7,0.0,3.5,6.9,354.45
11,12,4,1990,-9,0,482.8,6.8,0.0,0.0,6.7,0.1,0.0,0.0,10.0,0.7,0.7,100,0.0,0.0,100,0.7,0.7,100,4.3,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,482.8,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,46.7,45.0,43.0,42.0,34.0,34.0,34.0,32.7,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.6,0.9,4.3,7.7,354.45
12,13,4,1990,-9,0,483.5,1.9,0.0,0.0,1.9,0.0,0.0,0.0,10.0,1.2,1.2,100,0.0,0.0,100,1.2,1.2,100,10.3,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,483.5,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,46.0,45.3,43.3,42.2,34.1,34.1,34.0,33.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.1,6.2,10.3,14.5,354.45
13,14,4,1990,-9,0,482.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9,0.9,100,0.0,0.0,100,0.9,0.9,100,8.8,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,482.6,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,44.3,45.2,43.2,42.3,34.1,34.1,34.1,33.4,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,5.3,8.8,12.4,354.45
14,15,4,1990,-9,0,479.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.2,2.8,89,0.0,0.0,100,3.2,2.8,89,11.6,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,479.8,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,41.5,45.0,43.1,42.1,34.1,34.1,34.1,33.9,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,4.9,11.6,18.2,354.45
15,16,4,1990,-9,0,477.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,10.0,3.2,2.3,74,0.0,0.0,100,3.2,2.3,74,11.6,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,477.4,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,39.1,45.0,43.0,42.1,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,5.9,11.6,17.4,354.45
16,17,4,1990,-9,0,475.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,10.0,2.4,1.5,64,0.0,0.0,100,2.4,1.5,64,11.5,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,475.7,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,37.6,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,6.0,11.5,17.0,354.45
17,18,4,1990,-9,0,474.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,10.0,2.5,1.4,57,0.0,0.0,100,2.5,1.4,57,9.2,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,474.2,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,36.2,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.2,9.2,14.2,354.45
18,19,4,1990,-9,0,472.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.7,1.9,51,0.0,0.0,100,3.7,1.9,51,8.7,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,472.3,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,34.3,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.6,8.7,14.7,354.45
19,20,4,1990,-9,0,470.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.2,1.4,45,0.0,0.0,100,3.2,1.4,45,8.2,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,470.8,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,32.8,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,3.0,8.2,13.5,354.45
20,21,4,1990,-9,0,469.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.3,1.3,40,0.0,0.0,100,3.3,1.3,40,7.3,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,469.5,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,31.5,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.2,7.3,12.5,354.45
21,22,4,1990,-9,0,468.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.1,0.8,37,0.0,0.0,100,2.1,0.8,37,6.6,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,468.7,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,30.7,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.3,6.6,11.8,354.45
22,23,4,1990,-9,0,472.4,5.4,0.0,0.0,5.4,0.0,0.0,0.0,10.0,1.8,1.8,100,0.0,0.0,100,1.8,1.8,100,6.5,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,472.4,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,34.4,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,1.6,2.0,6.5,10.9,354.45
23,24,4,1990,-9,0,472.2,1.7,0.0,0.0,1.7,0.0,0.0,0.0,10.0,1.9,1.9,100,0.0,0.0,100,1.9,1.9,100,7.9,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,472.2,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,34.2,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,4.8,7.9,11.0,354.45
24,25,4,1990,-9,0,469.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.5,2.3,90,0.0,0.0,100,2.5,2.3,90,7.9,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,469.9,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,31.9,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.9,7.9,11.9,354.45
25,26,4,1990,-9,0,467.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,2.2,74,0.0,0.0,100,3.0,2.2,74,8.3,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,467.7,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,29.7,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.5,8.3,13.1,354.45
26,27,4,1990,-9,0,468.2,1.8,0.0,0.0,1.8,0.0,0.0,0.0,10.0,1.3,1.3,100,0.0,0.0,100,1.3,1.3,100,7.2,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,468.2,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,30.2,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.2,4.7,7.2,9.8,354.45
27,28,4,1990,-9,0,468.6,1.4,0.0,0.0,1.4,0.0,0.0,0.0,10.0,1.0,1.0,100,0.0,0.0,100,1.0,1.0,100,8.1,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,468.6,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,30.6,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.9,4.7,8.1,11.4,354.45
28,29,4,1990,-9,0,467.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2.5,2.4,96,0.0,0.0,100,2.5,2.4,96,9.2,0.0,-9,-9,-9,-9,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,467.2,-9.9,0.0,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,0.0,0.0,0.0,0.000    -9.000,0.0,-9.0,-9.0,0,10.0,0.0,29.2,45.0,43.0,42.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,5.0,9.2,13.3,354.45
